"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\create\Create.tsx", "TypeScript JSX", 0, 101, 0, 0, 7, 108
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\create\MapScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\home\Home.tsx", "TypeScript JSX", 0, 14, 0, 0, 1, 15
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\onBoarding\Money.tsx", "TypeScript JSX", 0, 59, 0, 0, 2, 61
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\onBoarding\OnBoardingScreen.tsx", "TypeScript JSX", 0, 41, 0, 0, 5, 46
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\onBoarding\Page3.tsx", "TypeScript JSX", 0, 50, 0, 0, 2, 52
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\onBoarding\Welcome.tsx", "TypeScript JSX", 0, 40, 0, 0, 2, 42
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\profile\Auth.tsx", "TypeScript JSX", 0, 42, 0, 0, 3, 45
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\profile\Favorites.tsx", "TypeScript JSX", 0, 10, 0, 0, 2, 12
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\profile\Login.tsx", "TypeScript JSX", 0, 97, 0, 1, 4, 102
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\profile\Posts.tsx", "TypeScript JSX", 0, 33, 0, 0, 5, 38
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\profile\Profile.tsx", "TypeScript JSX", 0, 8, 0, 0, 2, 10
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\profile\Register.tsx", "TypeScript JSX", 0, 109, 0, 1, 4, 114
"c:\Users\veget\Documents\graduation_project\saedah\src\screens\settings\Settings.tsx", "TypeScript JSX", 0, 26, 0, 0, 4, 30
"c:\Users\veget\Documents\graduation_project\saedah\src\utils\CreateFormHandlers.ts", "TypeScript", 18, 0, 0, 0, 3, 21
"c:\Users\veget\Documents\graduation_project\saedah\src\utils\LanguageHandler.ts", "TypeScript", 32, 0, 0, 0, 5, 37
"c:\Users\veget\Documents\graduation_project\saedah\src\utils\scrollHandler.ts", "TypeScript", 0, 0, 0, 0, 1, 1
"c:\Users\veget\Documents\graduation_project\saedah\src\utils\storageHandler.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"Total", "-", 70, 2983, 55, 32, 293, 3433
